S.No,Page ID,URL,Source file,Final filename,Alt text,Original width,Original height,Original format,Staging width,Staging height,Staging format,Visual QA,Issue / note,Width,Height,Asset path
1,CORE-001,/skinks/,core-001-skink-overview-hero.jpg,core-001-skink-overview-hero.webp,Representative skinks showing the diversity of the Scincidae family,1600,900,JPEG,1600,900,WEBP,REVIEW,No major prompt/species issue visible in batch contact-sheet review. Visible Google/Gemini/AI provenance mark detected in uploaded file; not final if no-watermark standard is mandatory.,1600,900,/assets/images/heroes/core-001-skink-overview-hero.webp
2,CORE-002,/pet-skinks/,core-002-pet-skinks-hero.png,core-002-pet-skinks-hero.webp,Popular pet skink species shown in separate appropriate captive environments,1376,768,PNG,1600,900,WEBP,REVIEW,No major prompt/species issue visible in batch contact-sheet review. Visible Google/Gemini/AI provenance mark detected in uploaded file; not final if no-watermark standard is mandatory.,1600,900,/assets/images/heroes/core-002-pet-skinks-hero.webp
3,CORE-003,/skink-care/,core-003-skink-care-hero.png,core-003-skink-care-hero.webp,"Healthy skink in an enclosure with heating, substrate, shelter and water",1376,768,PNG,1600,900,WEBP,REVIEW,No major prompt/species issue visible in batch contact-sheet review. Visible Google/Gemini/AI provenance mark detected in uploaded file; not final if no-watermark standard is mandatory.,1600,900,/assets/images/heroes/core-003-skink-care-hero.webp
4,CORE-004,/skink-care/enclosure-setup/,core-004-skink-enclosure-setup-hero.png,core-004-skink-enclosure-setup-hero.webp,"Skink enclosure with substrate, basking area, hides, lighting and water",1376,768,PNG,1600,900,WEBP,REVIEW,No major prompt/species issue visible in batch contact-sheet review. Visible Google/Gemini/AI provenance mark detected in uploaded file; not final if no-watermark standard is mandatory.,1600,900,/assets/images/heroes/core-004-skink-enclosure-setup-hero.webp
5,CORE-005,/skink-care/diet/,core-005-skink-diet-hero.png,core-005-skink-diet-hero.webp,Skink beside a varied species-appropriate feeding plate,1376,768,PNG,1600,900,WEBP,REVIEW,No major prompt/species issue visible in batch contact-sheet review. Visible Google/Gemini/AI provenance mark detected in uploaded file; not final if no-watermark standard is mandatory.,1600,900,/assets/images/heroes/core-005-skink-diet-hero.webp
6,CORE-006,/skink-care/exercise-enrichment/,core-006-skink-enrichment-hero.png,core-006-skink-enrichment-hero.webp,"Pet skink exploring tunnels, cover and enrichment in its enclosure",1376,768,PNG,1600,900,WEBP,REVIEW,No major prompt/species issue visible in batch contact-sheet review. Visible Google/Gemini/AI provenance mark detected in uploaded file; not final if no-watermark standard is mandatory.,1600,900,/assets/images/heroes/core-006-skink-enrichment-hero.webp
7,CORE-007,/pet-skinks/lifespan-size-growth/,core_007_skink_growth_lifespan_hero.png,core-007-skink-growth-lifespan-hero.webp,Juvenile and adult skinks illustrating growth and body-size differences,1376,768,PNG,1600,900,WEBP,REVIEW,Prompt expected juvenile/adult growth comparison; uploaded hero shows a single skink. Visible Google/Gemini/AI provenance mark detected in uploaded file; not final if no-watermark standard is mandatory.,1600,900,/assets/images/heroes/core-007-skink-growth-lifespan-hero.webp
8,CORE-008,/pet-skinks/cost-buying-guide/,core_008_skink_cost_buying_hero.png,core-008-skink-cost-buying-hero.webp,Healthy captive-bred skink being evaluated before purchase,1376,768,PNG,1600,900,WEBP,REVIEW,"Useful inspection/health-style scene, but buying context is weaker than planned. Visible Google/Gemini/AI provenance mark detected in uploaded file; not final if no-watermark standard is mandatory.",1600,900,/assets/images/heroes/core-008-skink-cost-buying-hero.webp
9,CORE-009,/skink-care/handling-bites-temperament/,009.jpeg,core-009-skink-handling-bites-hero.webp,Skink being supported calmly with both hands during safe handling,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/core-009-skink-handling-bites-hero.webp
10,CORE-010,/skink-care/health/,0010.jpeg,core-010-skink-health-hero.webp,Healthy skink during a non-invasive health and body-condition check,1376,768,JPEG,1600,900,WEBP,PASS,No major prompt/species issue visible in batch contact-sheet review.,1600,900,/assets/images/heroes/core-010-skink-health-hero.webp
