Page ID,Tier,Section,Title,URL,Parent Page ID,Parent URL,Template,Breadcrumb IDs,Breadcrumb
CORE-001,Core,Foundation,"Skink: What It Is, Types, Habitat, Size & Key Facts",/skinks/,,,Pillar / Hub,CORE-001,"Skink: What It Is, Types, Habitat, Size & Key Facts"
CORE-002,Core,Pet Ownership,"Pet Skinks: Best Species, Temperament, Cost & Ownership Guide",/pet-skinks/,CORE-001,/skinks/,Pillar / Hub,CORE-001 > CORE-002,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide"
CORE-003,Core,Skink Care,"Skink Care Guide: Housing, Diet, Heating, Humidity & Health",/skink-care/,CORE-002,/pet-skinks/,Pillar / Hub,CORE-001 > CORE-002 > CORE-003,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Skink Care Guide: Housing, Diet, Heating, Humidity & Health"
CORE-004,Core,Skink Care,"Skink Enclosure Setup: Size, Substrate, Heating, UVB & Humidity",/skink-care/enclosure-setup/,CORE-003,/skink-care/,Article / Care Guide,CORE-001 > CORE-002 > CORE-003 > CORE-004,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Skink Care Guide: Housing, Diet, Heating, Humidity & Health > Skink Enclosure Setup: Size, Substrate, Heating, UVB & Humidity"
CORE-005,Core,Skink Care,"What Do Skinks Eat? Diet, Feeding & Nutrition by Species",/skink-care/diet/,CORE-003,/skink-care/,Article / Care Guide,CORE-001 > CORE-002 > CORE-003 > CORE-005,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Skink Care Guide: Housing, Diet, Heating, Humidity & Health > What Do Skinks Eat? Diet, Feeding & Nutrition by Species"
CORE-006,Core,Skink Care,Skink Exercise & Enrichment: Safe Ways to Keep Pet Skinks Active,/skink-care/exercise-enrichment/,CORE-003,/skink-care/,Article / Care Guide,CORE-001 > CORE-002 > CORE-003 > CORE-006,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Skink Care Guide: Housing, Diet, Heating, Humidity & Health > Skink Exercise & Enrichment: Safe Ways to Keep Pet Skinks Active"
CORE-007,Core,Pet Ownership,"Skink Lifespan, Size & Growth: How Big and How Long Do Skinks Live?",/pet-skinks/lifespan-size-growth/,CORE-002,/pet-skinks/,Article / Care Guide,CORE-001 > CORE-002 > CORE-007,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Skink Lifespan, Size & Growth: How Big and How Long Do Skinks Live?"
CORE-008,Core,Pet Ownership,"Skink Cost & Buying Guide: Prices, Breeders and What to Check First",/pet-skinks/cost-buying-guide/,CORE-002,/pet-skinks/,Buying Guide,CORE-001 > CORE-002 > CORE-008,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Skink Cost & Buying Guide: Prices, Breeders and What to Check First"
CORE-009,Core,Skink Care,"Do Skinks Bite? Handling, Taming, Temperament & Body Language",/skink-care/handling-bites-temperament/,CORE-003,/skink-care/,Article / Care Guide,CORE-001 > CORE-002 > CORE-003 > CORE-009,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Skink Care Guide: Housing, Diet, Heating, Humidity & Health > Do Skinks Bite? Handling, Taming, Temperament & Body Language"
CORE-010,Core,Skink Care,"Skink Health Guide: Shedding, Weight, Mites, Respiratory Issues & Vet Signs",/skink-care/health/,CORE-003,/skink-care/,Article / Care Guide,CORE-001 > CORE-002 > CORE-003 > CORE-010,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Skink Care Guide: Housing, Diet, Heating, Humidity & Health > Skink Health Guide: Shedding, Weight, Mites, Respiratory Issues & Vet Signs"
CORE-011,Core,Skink Care,"Skink Supplies Checklist: Enclosure, Heating, Lighting, Substrate & Feeding Gear",/skink-care/supplies-checklist/,CORE-003,/skink-care/,Article / Care Guide,CORE-001 > CORE-002 > CORE-003 > CORE-011,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Skink Care Guide: Housing, Diet, Heating, Humidity & Health > Skink Supplies Checklist: Enclosure, Heating, Lighting, Substrate & Feeding Gear"
BT-001,Core,Blue-Tongue Skinks,"Blue-Tongue Skink: Species, Size, Lifespan, Temperament & Facts",/pet-skinks/blue-tongue-skink/,CORE-002,/pet-skinks/,Pillar / Hub,CORE-001 > CORE-002 > BT-001,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Blue-Tongue Skink: Species, Size, Lifespan, Temperament & Facts"
BT-002,Core,Blue-Tongue Skinks,Blue-Tongue Skink Care Guide for Beginners,/pet-skinks/blue-tongue-skink/care/,BT-001,/pet-skinks/blue-tongue-skink/,Pillar / Hub,CORE-001 > CORE-002 > BT-001 > BT-002,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Blue-Tongue Skink: Species, Size, Lifespan, Temperament & Facts > Blue-Tongue Skink Care Guide for Beginners"
BT-003,Core,Blue-Tongue Skinks,"Blue-Tongue Skink Enclosure: Size, Substrate, Heating, UVB & Humidity",/pet-skinks/blue-tongue-skink/enclosure/,BT-002,/pet-skinks/blue-tongue-skink/care/,Article / Care Guide,CORE-001 > CORE-002 > BT-001 > BT-002 > BT-003,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Blue-Tongue Skink: Species, Size, Lifespan, Temperament & Facts > Blue-Tongue Skink Care Guide for Beginners > Blue-Tongue Skink Enclosure: Size, Substrate, Heating, UVB & Humidity"
BT-004,Core,Blue-Tongue Skinks,"Blue-Tongue Skink Diet: Food List, Feeding Chart & Nutrition",/pet-skinks/blue-tongue-skink/diet/,BT-002,/pet-skinks/blue-tongue-skink/care/,Article / Care Guide,CORE-001 > CORE-002 > BT-001 > BT-002 > BT-004,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Blue-Tongue Skink: Species, Size, Lifespan, Temperament & Facts > Blue-Tongue Skink Care Guide for Beginners > Blue-Tongue Skink Diet: Food List, Feeding Chart & Nutrition"
BT-005,Core,Blue-Tongue Skinks,"Blue-Tongue Skink Cost & Buying Guide: Prices, Breeders and Captive-Bred Checks",/pet-skinks/blue-tongue-skink/cost-buying/,BT-001,/pet-skinks/blue-tongue-skink/,Buying Guide,CORE-001 > CORE-002 > BT-001 > BT-005,"Skink: What It Is, Types, Habitat, Size & Key Facts > Pet Skinks: Best Species, Temperament, Cost & Ownership Guide > Blue-Tongue Skink: Species, Size, Lifespan, Temperament & Facts > Blue-Tongue Skink Cost & Buying Guide: Prices, Breeders and Captive-Bred Checks"
